interest;gains_1;gains_2;losses_1;losses_2;outs_1;outs_2
0;0;0;0;0;1;1
5;138;99;5;5;0,96;0,98
10;192;0;5;0;0,96;1
15;185;0;8;0;0,98;1
20;187;187;6;11;0,98;0,98
25;182,6;187;4,8;11;0,9;0,96
30;164;165,75;4,2;6;0,9;0,92
35;183,5;178;11,5;8,25;0,92;0,92
40;175,7777778;170,5;5,777777778;5;0,82;0,88
45;160;135;9,25;7,25;0,76;0,92
50;162,4666667;146,5714286;6,666666667;14,28571429;0,7;0,86
55;158;132,1428571;9,294117647;11,71428571;0,66;0,86
60;125,8695652;130,25;15,26086957;13,8;0,54;0,6
65;119,21875;109,1052632;18,6875;15,78947368;0,36;0,62
70;122,9333333;96,69565217;15,77777778;25,86956522;0,1;0,54
75;105,8510638;96,14705882;17,80851064;27,02941176;0,06;0,32
80;94,12;99,39130435;18,18;32,93478261;0;0,08
85;95,52;93,18;24,9;34,36;0;0
90;94,48;93,78;24,34;40,04;0;0
95;93,64;94,4;46,16;43,72;0;0
100;93,34;91,24;55,36;54,52;0;0
